%Testing comment
%Every comment should start with '%'
%First: Row num and Col num
6 6
%Second line: The column and row and direction (N: 0, W: 1, S: 2, E: 3) of the escape door (should be at the border)
%This means the door locates at cell (3,5) - East
5 1 0
%TODO: Add player and mummys position
4 5
1
0 1
0
0
%DATA
0 1
0 0
0 0
0 0
1 0
0 0
0 1
1 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
0 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 1
0 0
0 0
% Human location: 4 5
% Zombie location: 0 1
